变量名,中文名称,Type,Missing Values,变量含义,建模建议,keep,
encounter_id,就诊编号,ID,no,每次就诊的唯一标识符,ID字段，不参与建模,no,
patient_nbr,患者编号,ID,no,每位患者的唯一标识符,可用于分析多次就诊，但不参与建模,no,
race,种族,Categorical,yes,患者的种族，例如白人、亚裔、非裔等,类别型，可one-hot编码或用embedding，缺失值需处理,yes,
gender,性别,Categorical,no,患者的性别，包括male、female、unknown,类别型，需去除或修正无效值,yes,
age,年龄段,Categorical,no,以10年为区间划分的年龄段,类别型，建议用ordinal编码或one-hot,yes,
weight,体重,Categorical,yes,以磅为单位的体重,缺失严重，建议不使用或做缺失值插补,no,
admission_type_id,入院类型,Categorical,no,入院方式编码，如急诊、择期等,可映射为类别型，使用one-hot或embedding,yes,
discharge_disposition_id,出院去向,Categorical,no,患者出院后的去向编码,类别型，部分类别可合并简化,yes,
admission_source_id,入院来源,Categorical,no,患者的入院来源编码，如转诊、急诊等,类别型，建议处理缺失和合并相似类,yes,
time_in_hospital,住院天数,Integer,no,住院的总天数,数值型，建议归一化或标准化,yes,
payer_code,付款方式,Categorical,yes,医保或支付方式编码,缺失较多，可考虑合并top-K或缺失作为一类,half missing,
medical_specialty,就诊科室,Categorical,yes,主治医生的专业科室,类别型，种类多可只保留top-K并合并其他,haf missing,
num_lab_procedures,实验室检测数量,Integer,no,本次住院中的实验室检测次数,数值型，直接使用,yes,
num_procedures,非实验手术数量,Integer,no,非实验室的医疗操作次数,数值型，直接使用,yes,
num_medications,药物种类数量,Integer,no,本次住院中使用的药物种类,数值型，直接使用,yes,
number_outpatient,过去门诊次数,Integer,no,过去一年中患者门诊次数,数值型，表示慢病或健康状况,extreme centered,
number_emergency,过去急诊次数,Integer,no,过去一年中患者急诊次数,数值型，高值可指示高风险,extreme centered,
number_inpatient,过去住院次数,Integer,no,过去一年中患者住院次数,数值型，是再入院风险关键特征,yes,
diag_1,主诊断编码,Categorical,yes,主诊断的ICD-9编码，前三位,类别型，建议分组为大类或使用embedding,special,
diag_2,次诊断代码,Categorical,yes,与本次住院相关的第二诊断（ICD9编码前3位）,可与主诊断一起分组映射为疾病类别，或使用embedding,speical,
diag_3,第三诊断代码,Categorical,yes,与本次住院相关的第三诊断（ICD9编码前3位）,同上，构建疾病多标签信息,speical,
number_diagnoses,诊断数,Integer,no,本次住院记录输入系统的诊断总数,可直接使用或归一化，表示共病情况,yes,
max_glu_serum,最大血糖水平,Categorical,no,住院期间最大血糖值范围，未检测为none,可用One-Hot编码，或映射为顺序特征,no,
A1Cresult,糖化血红蛋白结果,Categorical,no,糖化血红蛋白检测值的范围，反映长期血糖控制,One-Hot编码或映射为等级值（正常/偏高等）,uncertain(83.3% miss),
metformin,二甲双胍用药情况,Categorical,no,表示是否使用二甲双胍以及剂量变化情况,映射为剂量趋势（up/down/steady/no），或embedding,yes,
repaglinide,瑞格列奈用药情况,Categorical,no,同上，是否使用瑞格列奈,同上,yes,
nateglinide,那格列奈用药情况,Categorical,no,同上,同上,yes,
chlorpropamide,氯磺丙脲用药情况,Categorical,no,同上,同上,yes,
glimepiride,格列美脲用药情况,Categorical,no,同上,同上,yes,
acetohexamide,乙酰己酸胺用药情况,Categorical,no,同上,同上,yes,
glipizide,格列吡嗪用药情况,Categorical,no,同上,同上,yes,
glyburide,格列本脲用药情况,Categorical,no,同上,同上,yes,
tolbutamide,甲苯磺丁脲用药情况,Categorical,no,同上,同上,yes,
pioglitazone,吡格列酮用药情况,Categorical,no,同上,同上,yes,
rosiglitazone,罗格列酮用药情况,Categorical,no,同上,同上,yes,
acarbose,阿卡波糖用药情况,Categorical,no,同上,同上,yes,
miglitol,米格列醇用药情况,Categorical,no,同上,同上,yes,
troglitazone,曲格列酮用药情况,Categorical,no,同上,同上,yes,
tolazamide,托拉糖酰胺用药情况,Categorical,no,同上,同上,yes,
examide,Examide用药情况,Categorical,no,同上,同上,no,
citoglipton,Citoglipton用药情况,Categorical,no,同上,同上,no,
insulin,胰岛素用药情况,Categorical,no,同上,同上,yes,
glyburide-metformin,格列本脲+二甲双胍组合用药,Categorical,no,同上,同上,yes,
glipizide-metformin,格列吡嗪+二甲双胍组合用药,Categorical,no,同上,同上,yes,
glimepiride-pioglitazone,格列美脲+吡格列酮组合用药,Categorical,no,同上,同上,no,
metformin-rosiglitazone,二甲双胍+罗格列酮组合用药,Categorical,no,同上,同上,yes,
metformin-pioglitazone,二甲双胍+吡格列酮组合用药,Categorical,no,同上,同上,yes,
change,是否更换药物,Categorical,no,是否在住院期间调整糖尿病用药剂量或类型,映射为0/1二分类，或One-Hot,yes,
diabetesMed,是否使用糖尿病药物,Categorical,no,住院期间是否使用过糖尿病相关药物,0/1编码即可,yes,
readmitted,是否再入院（标签）,Categorical,no,标签变量，表示30天内是否再次入院,作为分类目标变量（多分类或二分类）,label,
